File name,Begin Time (s),End Time (s),Species Code,Confidence
3080704225891086773.wav,0,0.5625,Melozone aberti,0.6480655
3080704225891086773.wav,0.5625,1.125,Melozone aberti,0.9149805
3080704225891086773.wav,1.125,1.6875,Melozone aberti,0.93956584
3080704225891086773.wav,1.6875,2.25,Melozone aberti,0.49881613
3080704225891086773.wav,1.6875,2.25,Cormobates leucophaea,0.16341868
3080704225891086773.wav,2.25,2.8125,Melozone aberti,0.4267514
3080704225891086773.wav,2.8125,3.375,Melozone aberti,0.5542553
3080704225891086773.wav,3.375,3.9375,Melozone aberti,0.7374692
3080704225891086773.wav,3.9375,4.5,Ficedula narcissina,0.10399975
3080704225891086773.wav,4.5,5.0625,Ficedula narcissina,0.29763928
3080704225891086773.wav,5.625,6.1875,Ficedula narcissina,0.1936039
3080704225891086773.wav,6.75,7.3125,Ficedula narcissina,0.13111249
